name,kind,rank,steps,similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,tv,top_sigma_frac,visual_score
cp_soft_sym_l1tv,cp,32,160,0.8763209581375122,0.9399999976158142,0.43942806124687195,0.25854653120040894,0.11603295803070068,0.05629916489124298,0.29047173261642456,1.5937656506896019
split_l1_tv,split,32,160,0.8765558004379272,0.950499951839447,0.4376506209373474,0.23914308845996857,0.10864198207855225,0.05643993616104126,0.2901771664619446,1.5919297613203525
split_border_center,split,32,160,0.8761782050132751,0.9594999551773071,0.4341259002685547,0.23139703273773193,0.09958058595657349,0.05665259808301926,0.30302131175994873,1.5906166523694991
split_entropy_head,split,32,160,0.875239908695221,0.9440999627113342,0.43734294176101685,0.2453283816576004,0.1013035774230957,0.05646587535738945,0.2984243333339691,1.587017909437418
split_strong_tv,split,32,160,0.8764131665229797,0.9391999840736389,0.4374637007713318,0.24047623574733734,0.10691845417022705,0.05616462975740433,0.3003593385219574,1.5859741263091565
split_diverse,split,32,160,0.8789229989051819,0.9335999488830566,0.4374542534351349,0.24158838391304016,0.10413473844528198,0.0561472550034523,0.28907766938209534,1.585262742638588
split_plain,split,32,160,0.8782398700714111,0.9391999840736389,0.43734389543533325,0.23738187551498413,0.0972214937210083,0.056185171008110046,0.2939773201942444,1.5845610678195954
cp_plain,cp,32,160,0.8729609251022339,0.9265999794006348,0.4385404586791992,0.24721212685108185,0.11056238412857056,0.05657073110342026,0.28892186284065247,1.5791937030851841
sym_l1_tv,sym,32,160,0.788446843624115,0.885699987411499,0.22272031009197235,0.13740268349647522,0.0967782735824585,0.02773352339863777,0.2945166528224945,1.3677941851317883
nonnegative_split,split,48,160,-0.0036801169626414776,0.12619999051094055,0.22635003924369812,0.11313261091709137,0.12042438983917236,0.024962980300188065,0.216287299990654,0.19703164221718905
