name,kind,rank,smooth,topk,mask_sigma,similarity,test_acc,pattern_gini,locality_7x7,class_selectivity,head_top1_frac,display_tv,top_sigma_frac,human_score
mask034_cp_top1_distill,cp,64,1,1,0.34,0.6546286344528198,0.9523999691009521,0.6970130205154419,0.5083702802658081,1.0,1.0,0.026394933462142944,0.17734453082084656,2.5500132143497467
mask034_split_top1_distill,split,64,1,1,0.34,0.6628457307815552,0.9562000036239624,0.684285044670105,0.4889347553253174,1.0,1.0,0.02755192294716835,0.20267297327518463,2.529235827922821
mask028_cp_top2_distill,cp,64,1,2,0.28,0.6136074066162109,0.9514999985694885,0.7685654163360596,0.5993291139602661,0.7384575009346008,0.6780900955200195,0.022575130686163902,0.18522843718528748,2.3433441340923307
mask028_split_top2_distill,split,64,1,2,0.28,0.6350412368774414,0.9517999887466431,0.7615395784378052,0.5820894241333008,0.7361906170845032,0.656876802444458,0.02332145906984806,0.20413696765899658,2.3243719220161436
mask030_cp_top2_distill,cp,64,1,2,0.3,0.6415640115737915,0.9571999907493591,0.7436121106147766,0.5569878816604614,0.7471845149993896,0.6920984387397766,0.023965246975421906,0.19040824472904205,2.3139856457710266
mask030_split_top2_distill,split,64,1,2,0.3,0.6577250957489014,0.9566999673843384,0.7337958812713623,0.5485956072807312,0.7439948320388794,0.6783298254013062,0.024809878319501877,0.1971951276063919,2.299665167927742
mask034_cp_top2_distill,cp,64,1,2,0.34,0.6847397089004517,0.9593999981880188,0.6950768232345581,0.5111322402954102,0.7341153025627136,0.6513285636901855,0.026694953441619873,0.17894792556762695,2.2372771501541138
mask034_split_top2_distill,split,64,1,2,0.34,0.6983993053436279,0.9614999890327454,0.6838228702545166,0.4950500726699829,0.7356771230697632,0.6550184488296509,0.02753841131925583,0.175759956240654,2.224031203985214
mask040_cp_top2_distill,cp,64,1,2,0.4,0.7309936285018921,0.9617999792098999,0.6290280818939209,0.45111382007598877,0.7430692315101624,0.6695305705070496,0.030270066112279892,0.16505447030067444,2.17284771502018
mask040_split_top2_distill,split,64,1,2,0.4,0.7470183372497559,0.9620999693870544,0.6179698705673218,0.42892763018608093,0.7298232913017273,0.6477925181388855,0.03136700764298439,0.16652290523052216,2.135144402086735
